,id_recipe,Cook Time:,Soak Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Prep Time:,Yield:,Total Fat,Total Sugars,Vitamin C,Calcium,Iron,Additional Time:,Cholesterol,Saturated Fat
0,7107699, 1 hr 25 mins, 8 hrs, 9 hrs 55 mins,32 ,32,96,2mg,25g,1g,0g,42mg,,,,,,,,,,,,
1,6648286,20 mins,,40 mins,40 ,40,85,0mg,22g,1g,0g,37mg,4.6,942,20 mins,5 cups,0g,21g,14mg,4mg,0mg,,,
2,6649302,15 mins,, 1 hr 45 mins,48 ,48,89,3mg,23g,0g,0g,29mg,4.5,359,30 mins,6 (8-ounce) jars,,21g,14mg,2mg,0mg, 1 hr,,
3,6738659,30 mins,, 9 hrs,64 ,64,101,1mg,26g,0g,0g,51mg,4.5,113,30 mins,8 pints,0g,26g,1mg,4mg,0mg, 8 hrs,,
4,6650285,30 mins,,35 mins,16 ,16,69,0mg,18g,1g,0g,30mg,4.7,233,5 mins,1 cup,0g,16g,4mg,3mg,0mg,,,
5,6738077,10 mins,,1 day 30 mins,80 ,80,41,0mg,10g,0g,,9mg,4.4,191,10 mins,5 pints,,10g,3mg,1mg,,1 day 10 mins,,
6,6582530,45 mins,, 1 hr 5 mins,32 ,32,109,1mg,28g,0g,0g,41mg,4.7,232,20 mins,2 (8-ounce) jars,0g,27g,7mg,2mg,0mg,,,
7,6572536,45 mins,, 1 hr 10 mins,32 ,32,57,2mg,14g,1g,0g,108mg,4.7,218,25 mins,2 pints,0g,13g,4mg,31mg,0mg,,,
8,6576405, 10 hrs 25 mins,, 10 hrs 40 mins,48 ,48,75,2mg,20g,2g,0g,127mg,4.9,16,10 mins,6 cups,0g,16g,5mg,8mg,0mg,5 mins,,
9,6648623,20 mins,, 8 hrs 30 mins,56 ,56,60,,15g,1g,0g,14mg,4.6,56,5 mins,7 8-ounce jars,,15g,2mg,2mg,0mg, 8 hrs 5 mins,,
10,6651125, 11 hrs,, 11 hrs 30 mins,128 ,128,34,5mg,9g,1g,0g,21mg,4.7,"1,251",30 mins,4 pints,,8g,1mg,2mg,,,,
11,6650234,45 mins,, 3 hrs 30 mins,32 ,32,35,2mg,9g,1g,0g,32mg,4.8,48,45 mins,2 cups,0g,8g,9mg,11mg,0mg, 2 hrs,,
12,6738674,35 mins,,50 mins,64 ,64,59,1mg,15g,,,6mg,4.6,225,15 mins,8 cups,,15g,8mg,2mg,,,,
13,6605723,15 mins,,35 mins,32 ,32,86,1mg,22g,0g,,10mg,4.2,57,10 mins,4 1/2-pint jars,,22g,1mg,3mg,,10 mins,,
14,6577085,15 mins,, 12 hrs 45 mins,192 ,192,42,0mg,11g,0g,,14mg,4.3,125,30 mins,12 half-pint jars,,11g,2mg,3mg,, 12 hrs,,
15,6648803,15 mins,, 12 hrs 45 mins,48 ,48,151,1mg,39g,1g,0g,30mg,3.9,126,30 mins,6 half pints,0g,38g,1mg,5mg,0mg, 12 hrs,,
16,6569907,40 mins,, 2 hrs,50 ,50,105,0mg,27g,1g,0g,66mg,4.5,69,20 mins,5 pints,0g,26g,3mg,4mg,0mg, 1 hr,,
17,6741680,20 mins,,40 mins,64 ,64,99,1mg,25g,0g,0g,16mg,4.4,47,20 mins,8 (1/2-pint) jars,0g,25g,1mg,2mg,,,0mg,
18,6567794,40 mins,,1 day 1 hr,100 ,100,68,2mg,18g,0g,0g,17mg,4.0,24,20 mins,,0g,17g,1mg,1mg,0mg,1 day,0mg,0g
19,6562369,55 mins,, 1 hr 20 mins,32 ,32,37,19mg,5g,0g,0g,35mg,4.7,47,25 mins,,2g,4g,2mg,5mg,0mg,,,0g
20,6648960,50 mins,, 13 hrs 50 mins,32 ,32,94,0mg,24g,0g,0g,54mg,4.3,102, 1 hr,4 (1/2 pint) jars,0g,19g,2mg,6mg,0mg, 12 hrs,,
21,6586893,40 mins,,45 mins,8 ,8,112,15mg,12g,1g,1g,99mg,4.9,28,5 mins,,5g,9g,3mg,14mg,0mg,,4mg,1g
22,6581454,35 mins,,55 mins,40 ,40,39,49mg,10g,1g,0g,50mg,4.6,286,20 mins,5 1/2-pint jars,0g,9g,1mg,7mg,0mg,,,0g
23,6567642,30 mins,, 13 hrs,96 ,96,48,0mg,12g,0g,,9mg,4.5,102,30 mins,6 (half-pint) jars,,12g,1mg,1mg,, 12 hrs,,
24,6567226,30 mins,,1 day 1 hr,24 ,24,193,6mg,49g,4g,1g,259mg,4.3,21,30 mins,"3 pints, or 6 half-pints",1g,38g,17mg,65mg,0mg,1 day,,0g
25,6566457,30 mins,,45 mins,24 ,24,73,1mg,19g,1g,0g,59mg,4.7,70,15 mins,3 cups,0g,18g,11mg,4mg,0mg,,,
26,6650666, 10 hrs,, 10 hrs 15 mins,32 ,32,82,75mg,22g,2g,0g,86mg,4.9,99,15 mins,4 cups,,20g,4mg,9mg,0mg,,,
27,6565340,20 mins,, 4 hrs 50 mins,64 ,64,82,2mg,21g,0g,0g,23mg,4.8,188,30 mins,8 half pint jars,,21g,2mg,1mg,, 4 hrs,,
28,6563410, 1 hr 25 mins,,2 days 14 hrs,64 ,64,36,9mg,7g,1g,0g,34mg,4.5,94,35 mins,8 half-pint jars,1g,,2mg,7mg,0mg,2 days 12 hrs,2mg,1g
29,6564626,5 mins,,15 mins,48 ,48,94,1mg,24g,,0g,21mg,4.5,64,10 mins,3 pints,,24g,,2mg,,,,
30,6561800,20 mins,, 1 hr 50 mins,40 ,40,78,9mg,20g,1g,0g,39mg,4.7,44,30 mins,5 half pints,,20g,0mg,6mg,0mg, 1 hr,,
31,6579108,50 mins,,1 day 1 hr 20 mins,40 ,40,90,5mg,23g,0g,0g,23mg,4.6,16,30 mins,5 cups,,23g,2mg,11mg,0mg,1 day,,
32,6737725,,,,40 ,40,106,1mg,23g,,,26mg,4.7,171,,5 half-pint jars,,23g,1mg,2mg,0mg,,,
33,6595997,45 mins,, 9 hrs 15 mins,64 ,,,,,,,,4.1,28,30 mins,4 pints,,,,,, 8 hrs,,
34,6649060,35 mins,,1 day 55 mins,10 ,10,276,,71g,2g,1g,142mg,4.4,8,20 mins,2 5-ounce jars,0g,67g,32mg,24mg,0mg,1 day,,
35,6595564,,,,32 ,32,16,0mg,4g,0g,0g,20mg,4.7,21,,2 (8 oz.) jars,,4g,7mg,2mg,,,,
36,6578795,12 mins,, 8 hrs 42 mins,24 ,24,115,15mg,29g,1g,1g,74mg,4.7,285,30 mins,3 cups,0g,28g,2mg,22mg,0mg, 8 hrs,,
37,6566212, 4 hrs,, 4 hrs 20 mins,112 ,112,23,7mg,6g,0g,,21mg,4.7,39,10 mins,7 pints,,5g,1mg,5mg,0mg,10 mins,,
38,6566803,15 mins,, 8 hrs 35 mins,30 ,30,138,3mg,35g,0g,0g,51mg,4.4,22,20 mins,5 1/2-pint jars,0g,34g,1mg,3mg,0mg, 8 hrs,,
39,6584976,20 mins,, 1 hr,32 ,32,34,0mg,8g,1g,0g,30mg,4.7,132,10 mins,2 cups,0g,7g,4mg,6mg,0mg,30 mins,0mg,0g
40,6736585, 3 hrs,, 3 hrs 45 mins,64 ,64,111,0mg,29g,1g,0g,30mg,4.6,162,45 mins,4 pints,,27g,1mg,3mg,,,,
41,6563719,,,,28 ,28,182,1mg,47g,0g,0g,22mg,4.4,36,,3 1/2 cups,,47g,6mg,1mg,,,,
42,6562494,20 mins,,50 mins,45 ,45,28,10mg,7g,0g,0g,36mg,4.4,22,10 mins,8 jars of preserves,0g,7g,7mg,8mg,0mg,20 mins,,
43,6563679,20 mins,, 1 hr 50 mins,144 ,144,48,1mg,12g,0g,0g,48mg,4.6,10,,10 cups,,12g,0mg,3mg,0mg, 1 hr 30 mins,,
44,6649586, 1 hr 20 mins,, 1 hr 55 mins,8 ,8,262,116mg,37g,2g,5g,666mg,5.0,9,5 mins,8 servings,11g,22g,11mg,172mg,0mg,30 mins,34mg,7g
45,6563997, 1 hr 45 mins,, 2 hrs 15 mins,32 ,32,82,1mg,21g,2g,0g,70mg,4.3,79,30 mins,4 (1/2-pint) jars,0g,18g,3mg,6mg,0mg,,0mg,0g
46,6562693,30 mins,, 1 hr,64 ,64,101,1mg,26g,1g,0g,83mg,4.8,28,30 mins,8 (1/2 pint) jars,0g,24g,12mg,10mg,0mg,,,
47,6663758,20 mins,,1 day 40 mins,40 ,40,78,,20g,1g,1g,93mg,4.6,9,20 mins,,0g,19g,3mg,3mg,0mg,1 day,,
48,6563858,10 mins,,30 mins,32 ,32,77,1mg,20g,0g,0g,20mg,4.4,77,20 mins,1 pint,,19g,3mg,2mg,0mg,,,
49,6563368,10 mins,,40 mins,72 ,72,43,,11g,,,1mg,4.6,39,30 mins,4 (1/2 pint) jars,,11g,0mg,0mg,,,,
50,6664970, 1 hr 25 mins,, 9 hrs 55 mins,40 ,40,45,0mg,12g,1g,0g,42mg,4.8,13,30 mins,2 1/2 cups,,9g,12mg,9mg,, 8 hrs,,
51,6565801,20 mins,,50 mins,40 ,40,67,0mg,17g,0g,0g,29mg,4.5,50,30 mins,4 half pints,0g,17g,1mg,2mg,0mg,,,
52,6566665,25 mins,,25 mins,48 ,48,38,1mg,10g,0g,0g,31mg,4.9,71,,6 cups,,9g,1mg,9mg,,,,
53,6563843,20 mins,,35 mins,40 ,40,104,0mg,27g,1g,0g,35mg,4.2,48,15 mins,5 cups,0g,26g,13mg,4mg,0mg,,,
54,6570502,15 mins,,20 mins,24 ,24,17,14mg,4g,0g,0g,18mg,4.1,42,5 mins,,,4g,7mg,2mg,,,,
55,6593933,15 mins,, 1 hr,16 ,16,69,0mg,18g,1g,0g,87mg,3.6,5,15 mins,16 servings,0g,9g,20mg,9mg,1mg,30 mins,,
56,6738095, 1 hr 20 mins,, 2 hrs 30 mins,64 ,64,141,59mg,37g,2g,1g,125mg,4.7,48,10 mins,64 servings,0g,35g,3mg,32mg,0mg, 1 hr,,
