,id_recipe,Prep Time:,Cook Time:,Refrigerate Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Chill Time:,Stand Time:,Yield:,Cool Time:,Additional Time:
0,7971929,10 mins,0 mins,30 mins,45 mins,12 ,12,127,6g,1g,0mg,53mg,16g,2g,7g,4g,0mg,21mg,1mg,121mg,,,,,,,
1,7110236,30 mins,7 mins,, 2 hrs 37 mins,46 ,46,173,11g,6g,24mg,53mg,17g,1g,,3g,,,,95mg,5.0,2, 1 hr, 1 hr,46 cookies,,
2,7100435,10 mins,10 mins,,30 mins,16 ,16,173,10g,3g,12mg,194mg,19g,1g,,5g,,,,141mg,4.7,9,,,16 cookies,10 mins,
3,6663137,20 mins,10 mins,,30 mins,12 ,12,394,23g,5g,31mg,209mg,42g,3g,37g,12g,,23mg,1mg,291mg,4.4,"1,823",,,1 dozen,,
4,6648993,15 mins,10 mins,, 1 hr 25 mins,48 ,48,126,7g,3g,18mg,101mg,15g,1g,,2g,,15mg,1mg,57mg,4.6,"4,444",,,4 dozen,, 1 hr
5,6650662,15 mins,10 mins,,25 mins,24 ,24,98,6g,1g,8mg,52mg,11g,1g,9g,3g,,6mg,0mg,73mg,4.5,653,,,2 dozen cookies,,
6,6663311,15 mins,15 mins,,50 mins,36 ,36,149,9g,3g,11mg,73mg,15g,1g,11g,4g,,17mg,0mg,114mg,4.7,38,,,3 dozen,,20 mins
7,6664860,25 mins,10 mins,,35 mins,40 ,40,122,7g,3g,11mg,119mg,14g,1g,9g,2g,,13mg,1mg,61mg,4.8,"4,520",,,40 cookies,,
8,6741040,25 mins,,, 1 hr 25 mins,12 ,12,532,37g,17g,41mg,320mg,49g,3g,38g,9g,,26mg,2mg,275mg,4.6,"3,059",,,12 bars,, 1 hr
9,6649175,15 mins,15 mins,,35 mins,24 ,24,246,12g,6g,26mg,163mg,34g,2g,21g,4g,,16mg,2mg,68mg,4.4,"1,901",,,24 cookies,,5 mins
10,6737738,45 mins,10 mins,,55 mins,48 ,48,117,6g,2g,7mg,78mg,14g,0g,10g,2g,,15mg,0mg,53mg,4.7,37,,,48 cookies,,
11,6590120,10 mins,15 mins,,25 mins,12 ,12,133,11g,2g,16mg,105mg,12g,1g,2g,6g,,12mg,1mg,146mg,4.1,115,,,12 cookies,,
